component_id,sum
16a550eea1d6614b,7.0
3d0a56a56ae0fb84,9.0
caf8d8d81bb25902,7.0
964fb42a7814102d,6.0
7d9ec56a5d329f6f,9.0
ba536fa9b62b2f3e,8.0
7c7459035df568fd,17.0
b784de6c99407b4b,7.0
2060c0cdb9bcd3a7,13.0
d8f87d164b54a5f2,47.0
895467a0b04fe248,12.0
f230885b5947cb54,14.0
2ebfc89ee5807a82,14.0
45f655a410fe5934,20.0
2a4b3ef6b7fce371,16.0
25078baf5bac4494,1156.0
e18bf3224626557e,8.0
b372a3cae5cc7251,82.0
ab2b754e472c9efa,12.0
b5eb9a578302ab14,141.0
4024b0357b3d2c94,73.0
189a99c6e89e3857,29.0
ea83289813687d39,54.0
d0763622b0f32148,9.0
1d50d8d3319c491d,15.0
3217ba115ea52bd6,6.0
a8c999fb31332f21,24.0
f4053880c61f31b7,7.0
841e49bba6dc339a,29.0
4ff0d547156dcd6f,7.0
98befa8406cb339a,48.0
77ac450ae111c69a,9.0
d8c311e4ba3b0e75,22.0
536ce958eaa56124,28.0
1f013edac00a6308,49.0
69047b974041384d,143.0
8bbad7b13a4b97b7,23.0
30ef20a64ce29191,7.0
4e257745bea5a89a,46.0
6ac7cae39675d0dc,14.0
ff6c768bc56aa391,19.0
91eacb6ba696c115,11.0
5d5532f736a5899f,22.0
85a666e048446ba3,7.0
54d0ea80cc5faf89,22.0
459df01e5f833b0a,12.0
50c581c74734e8fb,14.0
8bd0904d70df6183,33.0
b5674072569094e7,10.0
0507057ed106dbc9,29.0
c002df3cf1400cd0,13.0
f80fc8856c56d801,20.0
5b81033ff85acef2,12.0
ddc0f5bb942de125,12.0
5467c8242ef66973,18.0
b3a2ec0ff960a234,9.0
04c4ec004d605f6a,10.0
b5e17a32637e1f79,42.0
c5741dbb6846bd84,10.0
a5ce800f253e08c0,20.0
936457501d49fc62,8.0
6868f7d7ea8904ea,21.0
726421ba50030c21,8.0
29a85c70c660e6d2,22.0
89c1496c01ff37a1,32.0
fc62fd45725a2abe,14.0
ae46293bce0c22c5,9.0
9f993cf1e65e8db2,11.0
64568836f3c5641c,11.0
c6fe58d763b25f0a,12.0
9866d596fb739590,11.0
648129258a7b2999,133.0
175d743e4de7509d,38.0
053fa8d1c5a65ea6,12.0
94ae0d31cec7c54d,905.0
2ee3fe7ee2128c0b,6.0
7844d808611c7cca,12.0
7af034be164361fe,38.0
5fd8829c273a4925,11.0
b24f887d109bd7e4,21.0
c7c53fae25ae8de4,54.0
038f45ad45d2235b,7.0
02af71284539b75e,14.0
3b1c5fe2abac44c4,23.0
6d0efeda87a46344,14.0
79a329d7d4bf89e4,22.0
c1b0d23d6039f556,26.0
fa4741fca820bc58,20.0
a11551da1c40e0dc,68.0
54813dc826a56be7,10.0
38031e457fa67d4d,76.0
0b284c2fdb5354a2,6.0
fc8d00491f38a90d,17.0
73d60bb494aae8eb,19.0
4fa1f5dbd9b216e9,14.0
4c3537ddd4ce3cac,6.0
5fa8fd710d05f7fc,7.0
571c33f98120428a,25.0
ff3abd8042b4e68d,20.0
666a11000228bc7f,14.0
b62dac9f7197ecbf,46.0
68ad67a9550fff3c,11.0
1e8fd700d1f3573c,11.0
9cb145548c0a581f,30.0
8b5e69343cda8d47,15.0
6c52c4d33c6d67e5,6.0
