component_id,factors__component_id,complexity_score,factors__num_pins,factors__generator_used,factors__has_polygon_in_footprint,factors__prefix
4d783635047a1ec0,,0.20499999821186066,3.0,0,0,Q
e194c5d809609c01,,0.20499999821186066,3.0,0,0,Q
7e8f2eeaca4691a0,,0.24500000476837158,8.0,0,0,Q
89f3cca02915afc6,,0.24500000476837158,8.0,0,0,Q
3e8e23c21aa6d31c,,0.20000000298023224,2.0,1,0,R
5c44ec5aa4e845b8,,0.20000000298023224,2.0,0,0,C
30df33d5baa6d788,,0.20000000298023224,14.0,1,0,U
bc2f3fe7f2e7476b,,0.41999998688697815,64.0,1,0,U
96f05c950a81e2f3,,0.24500000476837158,8.0,0,0,U
0bbfae7349171941,,0.20499999821186066,3.0,0,0,VR
3c0ffffffd1b9eee,,0.20999999344348907,4.0,0,0,J
0688db5a036c8ab0,,0.20000000298023224,2.0,0,0,C
56dcd5e5e763a573,,0.20000000298023224,8.0,1,0,U
5a4d5c2dceb5e1db,,0.20000000298023224,2.0,0,0,C
cbcac258d4807151,,0.26500001549720764,33.0,1,0,U
cb2b0105f94a60c2,,0.20000000298023224,2.0,1,0,R
fad8cd350392657c,,0.20000000298023224,2.0,1,0,R
083ece3260bb4ed2,,0.24500000476837158,8.0,0,0,C
8023a4f69f095bb4,,0.20000000298023224,2.0,1,0,R
0f9b890ea1cd4a0b,,0.20000000298023224,2.0,1,0,C
d275a98de21cd39f,,0.20000000298023224,2.0,1,0,D
8a6e9191613499eb,,0.20499999821186066,3.0,0,0,RG
a108d69adbe5c2d0,,0.20000000298023224,2.0,0,0,R
a45dd97fbb2209d8,,0.20000000298023224,2.0,0,0,C
65d937d61b67f32e,,0.20000000298023224,2.0,1,0,R
a4b40e958a43c331,,0.20000000298023224,2.0,1,0,R
a9cbe9485b1f756c,,0.20000000298023224,14.0,1,0,U
aad05b4e3f88427f,,0.20499999821186066,3.0,0,0,Q
466caf1563a37d1c,,0.20000000298023224,2.0,0,0,F
5b8d0dae6d72563f,,0.20000000298023224,2.0,0,0,F
14416f9a60d1e8cf,,0.20000000298023224,2.0,1,0,R
763510710bab2d74,,0.20000000298023224,4.0,1,0,U
b6aeb123c6e09a06,,0.33000001311302185,17.0,0,0,J
6fb39e181e43e2fe,,0.24500000476837158,8.0,0,0,J
6b442ed0ca871cc3,,0.4865175783634186,24.0,0,0,U
32210204928d4f53,,0.20000000298023224,2.0,0,0,C
