component_id,manufacturers
790436b690fc6025,Texas Instruments
79d4e05845d37bdc,YAGEO
79ec0c46caf7ca60,Texas Instruments
7a1f0adbbf70e528,Knowles
7a57b4556a9b8526,Texas Instruments
93c814a81ad38c92,Diodes
7af202d13173d158,Analog Devices Inc
7b52526cd324363a,Murata
7b801df7862e5b46,Microchip
7cc6d46ad7b8acc8,Analog Devices Inc
7cf7237af20bf84f,Lite-On Inc.
7dc5b8cb03bb3c52,PixArt Imaging Inc.
7e950d692174c18d,ST Microelectronics
7eb8f0275fd387f1,Kyocera
8026788969909d49,Honeywell
80a73d59352473fd,Bourns
8248b1c168873f00,STMicroelectronics
825bff6b713c851f,Sullins
827d58eb30ee5b60,ams-TAOS/Texas Instruments
8297c5a40127c4c7,Kemet
8302f4067a906e6c,Lite-On
833ebba5aed1e697,Bourns
837d17c74b339edd,Stackpole
84a966eed40cdc45,Microchip
84ea83650cfa7b35,TE
84ed2d914732006a,Linear Technologies
8538239c5b0e69c3,Phoenix Contact
8625c160442ec08d,Texas Instruments
872045f97342a182,Micro Commercial
873b7e1ea3dad95e,Bel
8855109944a81047,Linx
886024223af4b8c7,Bourns
88d716be50ce18fd,TE
88ef1ab381b51386,Microchip
88ef830cd2cf6150,Murata
893c9389e2c54bb7,Atmel
89e6244bf0a08f64,Samsung
89f3cca02915afc6,Infineon
8a2956a90ff6797d,TE Connectivity Corporation
8a462efa10a0edeb,Texas Instruments
8a6f4dd113c803bf,IXYS
8d6fdb7c9bc2b499,ON Semi
8de79a121e4a9538,YAGEO
8dec6374ea5c1690,Comchip
8fe304040aa6858f,Vishay General Semiconductor
8ff692722f3c7ce4,YAGEO
905d36b0ce8fa17a,Stackpole Electronics Inc.
90890b5ac285b37e,Maxim Electronics
90ff24e5d1aaa85f,Vishay
912d78855cadae11,Kemet
91563933e54332d3,Vishay General Semiconductor
91702af95a37bd0d,ON Semi
91d4d4d033a36c4d,Texas Instruments
920bc6521f5bfa9d,Sullins
9217b4b8d66db244,ON Semi
924214c3b2cd1c36,Panasonic
9349aacb3454707a,Abracon
935b905f1e286d3d,Supertex
