manufacturerid,parentid,subid,typeid,name,createddate,modifieddate
13,14,NULL,1,ST Ericsson,10/08/2012 15:19,07/04/2015 5:41
14,14,NULL,1,STEricsson,10/08/2012 15:19,10/08/2012 15:19
19,19,NULL,1,Stackpole,10/08/2012 15:19,10/08/2012 15:19
20,19,NULL,1,SEI Stackpole Electronics,10/08/2012 15:19,10/08/2012 15:19
22,20,NULL,1,Staco Energy Products Company,10/08/2012 15:19,10/08/2012 15:19
24,20,NULL,1,Staco,10/08/2012 15:19,10/08/2012 15:19
28,24,NULL,1,Stag Programmers,10/08/2012 15:19,10/08/2012 15:19
31,28,NULL,1,RBM CONTROLS DIV OF STANCOR,10/08/2012 15:19,10/08/2012 15:19
36,31,NULL,1,Standard Microsystem (Smsc),10/08/2012 15:19,10/08/2012 15:19
39,36,NULL,1,Maxam Pneumatics,10/08/2012 15:19,10/08/2012 15:19
44,39,NULL,1,Stanley FatMax,10/08/2012 15:19,10/08/2012 15:19
59,51,NULL,1,STARTECH.COM,10/08/2012 15:19,10/08/2012 15:19
75,71,NULL,1,Stego Elektrotechnik,10/08/2012 15:19,10/08/2012 15:19
76,72,NULL,1,STEINBACH AND VOLLMANN,10/08/2012 15:19,10/08/2012 15:19
77,72,NULL,1,Steinbach & Vollman,10/08/2012 15:19,10/08/2012 15:19
78,73,NULL,1,Steinel America,10/08/2012 15:19,10/08/2012 15:19
83,76,NULL,1,Kontek,10/08/2012 15:19,10/08/2012 15:19
94,92,NULL,1,STMicroelectronics [CHP],10/08/2012 15:19,10/08/2012 15:19
99,92,NULL,1,ST Microelectronics,10/08/2012 15:19,10/08/2012 15:19
108,100,NULL,1,Storm,10/08/2012 15:19,10/08/2012 15:19
120,111,NULL,1,STUDER INNOTEC,10/08/2012 15:19,10/08/2012 15:19
128,116,NULL,1,Sullins Connector Solutions,10/08/2012 15:19,10/08/2012 15:19
131,118,NULL,1,SUMIDA AMERICA COMPONENTS,10/08/2012 15:19,10/08/2012 15:19
135,120,NULL,1,Sumitomo,10/08/2012 15:19,10/08/2012 15:19
144,131,NULL,1,Sunon Fans,10/08/2012 15:19,10/08/2012 15:19
156,139,NULL,1,Supermicro Computer,10/08/2012 15:19,10/08/2012 15:19
167,149,NULL,1,SURE SEAL,10/08/2012 15:19,10/08/2012 15:19
177,156,NULL,1,Swann Morton,10/08/2012 15:19,10/08/2012 15:19
178,157,NULL,1,Swanstrom Tools USA,10/08/2012 15:19,10/08/2012 15:19
179,158,NULL,1,Sweex,10/08/2012 15:19,10/08/2012 15:19
182,162,NULL,1,Swissbit NA,10/08/2012 15:19,10/08/2012 15:19
186,165,NULL,1,Conxall/Switchcraft,10/08/2012 15:19,10/08/2012 15:19
187,165,NULL,1,CONXALL,10/08/2012 15:19,10/08/2012 15:19
188,165,NULL,1,Conxall / Switchcraft,10/08/2012 15:19,10/08/2012 15:19
199,171,NULL,1,Syfer Technology,10/08/2012 15:19,10/08/2012 15:19
201,172,NULL,1,Sykes Pickavant,10/08/2012 15:19,10/08/2012 15:19
205,175,NULL,1,Symbol,10/08/2012 15:19,10/08/2012 15:19
219,189,NULL,1,Sander Plast & Form,10/08/2012 15:19,10/08/2012 15:19
228,196,NULL,1,T GLOBAL,10/08/2012 15:19,10/08/2012 15:19
233,198,NULL,1,Tadiran,10/08/2012 15:19,10/08/2012 15:19
271,237,NULL,1,T B DAVIES,10/08/2012 15:19,10/08/2012 15:19
273,238,NULL,1,Tba Industrial Products,10/08/2012 15:19,10/08/2012 15:19
279,244,NULL,1,EPCOS,10/08/2012 15:19,10/08/2012 15:19
281,244,NULL,1,EPCOS (TDK),10/08/2012 15:19,10/08/2012 15:19
285,247,NULL,1,TDK-Lambda Americas,10/08/2012 15:19,10/08/2012 15:19
286,247,NULL,1,TDK LAMBDA,10/08/2012 15:19,10/08/2012 15:19
287,247,NULL,1,TDK-Lambda,10/08/2012 15:19,10/08/2012 15:19
290,247,NULL,1,Lambda,10/08/2012 15:19,10/08/2012 15:19
300,250,NULL,1,TE Connectivity,10/08/2012 15:19,10/08/2012 15:19
302,250,NULL,1,TE CONNECTIVITY / POWER SYSTEMS,10/08/2012 15:19,10/08/2012 15:19
303,250,NULL,1,TYCO POWER SYSTEMS,10/08/2012 15:19,10/08/2012 15:19
307,250,NULL,1,Tyco Electronics,10/08/2012 15:19,10/08/2012 15:19
308,250,NULL,1,Tyco Thermal Controls,10/08/2012 15:19,10/08/2012 15:19
322,256,NULL,1,TE Connectivity / Buchanan-Rdi,10/08/2012 15:19,10/08/2012 15:19
327,260,NULL,1,TE Connectivity / Raychem Circuit Protection,10/08/2012 15:19,10/08/2012 15:19
329,262,NULL,1,TE Connectivity / Coev,10/08/2012 15:19,10/08/2012 15:19
330,262,NULL,1,TE Connectivity / CO-EV,10/08/2012 15:19,10/08/2012 15:19
331,263,NULL,1,CORCOM,10/08/2012 15:19,10/08/2012 15:19
335,264,NULL,1,CRITCHLEY,10/08/2012 15:19,10/08/2012 15:19
336,265,NULL,1,CROMPTON,10/08/2012 15:19,10/08/2012 15:19
339,267,NULL,1,ELO TOUCH SYSTEMS,10/08/2012 15:19,10/08/2012 15:19
341,267,NULL,1,TE Connectivity /Elo Touchsystems,10/08/2012 15:19,10/08/2012 15:19
342,267,NULL,1,ELO TouchSystems,10/08/2012 15:19,10/08/2012 15:19
354,279,NULL,1,MINIREEL TE CONNECTIVITY / NEOHM,10/08/2012 15:19,10/08/2012 15:19
360,282,NULL,1,TE Connectivity / P&B,10/08/2012 15:19,10/08/2012 15:19
366,285,NULL,1,TE Connectivity / Raychem Wire,10/08/2012 15:19,10/08/2012 15:19
405,320,NULL,1,Tele Controls,10/08/2012 15:19,10/08/2012 15:19
406,321,NULL,1,Telecom & Security,10/08/2012 15:19,10/08/2012 15:19
410,324,NULL,1,Teledyne Relays,10/08/2012 15:19,10/08/2012 15:19
418,327,NULL,1,Telegartner,10/08/2012 15:19,10/08/2012 15:19
426,337,NULL,1,Telit Location Solutions LP,10/08/2012 15:19,10/08/2012 15:19
427,337,NULL,1,TELIT WIRELESS SOLUTIONS,10/08/2012 15:19,10/08/2012 15:19
435,347,NULL,1,TENMA (FORMERLY FROM SPC),10/08/2012 15:19,10/08/2012 15:19
437,349,NULL,1,Tensility International,10/08/2012 15:19,10/08/2012 15:19
442,355,NULL,1,TERIDIAN,10/08/2012 15:19,10/08/2012 15:19
449,362,NULL,1,Terry,10/08/2012 15:19,10/08/2012 15:19
451,363,NULL,1,TES Electrical,10/08/2012 15:19,10/08/2012 15:19
454,366,NULL,1,TPI (Test Products Int),10/08/2012 15:19,10/08/2012 15:19
455,366,NULL,1,TEST PRODUCTS,10/08/2012 15:19,10/08/2012 15:19
464,377,NULL,1,PALADIN,10/08/2012 15:19,10/08/2012 15:19
465,377,NULL,1,PALADIN TOOLS,10/08/2012 15:19,10/08/2012 15:19
467,378,NULL,1,Greenlee Communications,10/08/2012 15:19,10/08/2012 15:19
468,378,NULL,1,GREENLEE TEXTRON,10/08/2012 15:19,10/08/2012 15:19
469,378,NULL,1,Greenlee,10/08/2012 15:19,10/08/2012 15:19
472,379,NULL,1,TEMPO,10/08/2012 15:19,10/08/2012 15:19
474,380,NULL,1,KLAUKE TEXTRON,10/08/2012 15:19,10/08/2012 15:19
475,380,NULL,1,Gustav Klauke,10/08/2012 15:19,10/08/2012 15:19
476,380,NULL,1,Klauke,10/08/2012 15:19,10/08/2012 15:19
485,390,NULL,1,The Technical Glass,10/08/2012 15:19,10/08/2012 15:19
488,392,NULL,1,Theben / Timeguard,10/08/2012 15:19,10/08/2012 15:19
499,406,NULL,1,THOMAS & BETTS,10/08/2012 15:19,10/08/2012 15:19
500,406,NULL,1,THOMAS & BETTS ELECTRICAL,10/08/2012 15:19,10/08/2012 15:19
501,406,NULL,1,Thomas&Betts,10/08/2012 15:19,10/08/2012 15:19
507,411,NULL,1,Thordarson Meissner,10/08/2012 15:19,10/08/2012 15:19
511,416,NULL,1,Texas Instruments,10/08/2012 15:19,10/08/2012 15:19
513,416,NULL,1,TI SEMICONDUCTORS,10/08/2012 15:19,10/08/2012 15:19
519,417,NULL,1,BURR-BROWN,10/08/2012 15:19,10/08/2012 15:19
520,419,NULL,1,National Semiconductor,10/08/2012 15:19,10/08/2012 15:19
524,419,NULL,1,National Semiconductor (TI),10/08/2012 15:19,10/08/2012 15:19
526,420,NULL,1,Tianma Microelectronics,10/08/2012 15:19,10/08/2012 15:19
530,423,NULL,1,Tiger,10/08/2012 15:19,10/08/2012 15:19
534,427,NULL,1,Time Electronic,10/08/2012 15:19,10/08/2012 15:19
539,435,NULL,1,TITANS,10/08/2012 15:19,10/08/2012 15:19
542,439,NULL,1,TLG Publications,10/08/2012 15:19,10/08/2012 15:19
549,450,NULL,1,Toko America,10/08/2012 15:19,10/08/2012 15:19
565,465,NULL,1,TOREX,10/08/2012 15:19,10/08/2012 15:19
587,484,NULL,1,TP-LINK,10/08/2012 15:19,10/08/2012 15:19
591,489,NULL,1,TRACO,10/08/2012 15:19,10/08/2012 15:19
610,514,NULL,1,Trend Communications,10/08/2012 15:19,10/08/2012 15:19
614,520,NULL,1,TRI-STAR INTERNATIONAL,10/08/2012 15:19,10/08/2012 15:19
615,520,NULL,1,Tri-Star Electronics,10/08/2012 15:19,10/08/2012 15:19
624,526,NULL,1,TRIDENT,10/08/2012 15:19,10/08/2012 15:19
630,526,NULL,1,Trident Engineering,10/08/2012 15:19,10/08/2012 15:19
636,532,NULL,1,WABER BY TRIPP LITE,10/08/2012 15:19,10/08/2012 15:19
637,532,NULL,1,Waber,10/08/2012 15:19,10/08/2012 15:19
639,533,NULL,1,TRIPP-LITE,10/08/2012 15:19,10/08/2012 15:19
649,541,NULL,1,TRULY,10/08/2012 15:19,10/08/2012 15:19
657,549,NULL,1,AB CONNECTORS,10/08/2012 15:19,10/08/2012 15:19
659,550,NULL,1,PROXISTOR AB ELECTRONIC,10/08/2012 15:19,10/08/2012 15:19
660,550,NULL,1,Proxistor,10/08/2012 15:19,10/08/2012 15:19
661,551,NULL,1,AB ELEKTRONIK,10/08/2012 15:19,10/08/2012 15:19
662,552,NULL,1,TT Electronics/BI,10/08/2012 15:19,10/08/2012 15:19
663,552,NULL,1,BI TECHNOLOGIES/TT ELECTRONICS,10/08/2012 15:19,10/08/2012 15:19
664,552,NULL,1,BI Technologies (TT Electronics),10/08/2012 15:19,10/08/2012 15:19
665,552,NULL,1,BI Technologies,10/08/2012 15:19,10/08/2012 15:19
666,552,NULL,1,BI Electronics,10/08/2012 15:19,10/08/2012 15:19
668,553,NULL,1,TT Electronics/IRC,10/08/2012 15:19,10/08/2012 15:19
669,553,NULL,1,IRC (TT Electronics),10/08/2012 15:19,10/08/2012 15:19
670,553,NULL,1,IRC,10/08/2012 15:19,10/08/2012 15:19
671,554,NULL,1,TT Electronics/Optek Technology,10/08/2012 15:19,10/08/2012 15:19
672,554,NULL,1,OPTEK TECHNOLOGY,10/08/2012 15:19,10/08/2012 15:19
673,554,NULL,1,Optek Technology (TT Electronics),10/08/2012 15:19,10/08/2012 15:19
674,554,NULL,1,Optek,10/08/2012 15:19,10/08/2012 15:19
676,555,NULL,1,TT Electronics/Welwyn,10/08/2012 15:19,10/08/2012 15:19
677,555,NULL,1,WELWYN,10/08/2012 15:19,10/08/2012 15:19
678,555,NULL,1,Welwyn Components,10/08/2012 15:19,10/08/2012 15:19
688,567,NULL,1,Turck Banner,10/08/2012 15:19,10/08/2012 15:19
700,573,NULL,1,AXIOHM,10/08/2012 15:19,10/08/2012 15:19
701,575,NULL,1,Tyan Computer,10/08/2012 15:19,10/08/2012 15:19
717,600,NULL,1,ULTRALAST,10/08/2012 15:19,10/08/2012 15:19
719,600,NULL,1,Ultralast Batteries,10/08/2012 15:19,10/08/2012 15:19
739,619,NULL,1,UNICOM GLOBAL SYSTEMS SOLUTIONS,10/08/2012 15:19,10/08/2012 15:19
750,634,NULL,1,UA (UNITED AUTOMATION),10/08/2012 15:19,10/08/2012 15:19
751,634,NULL,1,UNITED AUTOMATION,10/08/2012 15:19,10/08/2012 15:19
752,634,NULL,1,UAL United Automation,10/08/2012 15:19,10/08/2012 15:19
767,653,NULL,1,U.S ROBOTICS,10/08/2012 15:19,10/08/2012 15:19
776,662,NULL,1,Uvex,10/08/2012 15:19,10/08/2012 15:19
794,684,NULL,1,Vanguard,10/08/2012 15:19,10/08/2012 15:19
805,694,NULL,1,Varta Batteries,10/08/2012 15:19,10/08/2012 15:19
807,694,NULL,1,Varta Consumer,10/08/2012 15:19,10/08/2012 15:19
808,694,NULL,1,Varta Microbattery,10/08/2012 15:19,10/08/2012 15:19
815,701,NULL,1,Vector Electronics,10/08/2012 15:19,10/08/2012 15:19
817,701,NULL,1,Vector,10/08/2012 15:19,10/08/2012 15:19
824,706,NULL,1,VELLEMAN KIT,10/08/2012 15:19,10/08/2012 15:19
841,722,NULL,1,VERO,10/08/2012 15:19,10/08/2012 15:19
843,722,NULL,1,Vero Technologies,10/08/2012 15:19,10/08/2012 15:19
869,746,NULL,1,IRWIN VISE-GRIP,10/08/2012 15:19,10/08/2012 15:19
870,747,NULL,1,Angstrohm,10/08/2012 15:19,10/08/2012 15:19
871,749,NULL,1,Vishay BC Components,10/08/2012 15:19,10/08/2012 15:19
874,749,NULL,1,Vishay/BC Components,10/08/2012 15:19,10/08/2012 15:19
875,749,NULL,1,BC Components,10/08/2012 15:19,10/08/2012 15:19
876,750,NULL,1,Vishay Beyschlag,10/08/2012 15:19,10/08/2012 15:19
878,750,NULL,1,Vishay/Beyschlag,10/08/2012 15:19,10/08/2012 15:19
879,751,NULL,1,VISHAY CERA-MITE,10/08/2012 15:19,10/08/2012 15:19
880,751,NULL,1,Vishay/Cera-Mite,10/08/2012 15:19,10/08/2012 15:19
881,751,NULL,1,CERA MITE,10/08/2012 15:19,10/08/2012 15:19
882,753,NULL,1,Vishay Thin Film,10/08/2012 15:19,10/08/2012 15:19
884,753,NULL,1,Vishay/Thin Film,10/08/2012 15:19,10/08/2012 15:19
885,754,NULL,1,Vishay Dale,10/08/2012 15:19,10/08/2012 15:19
886,754,NULL,1,DALE-METAL FILMS,10/08/2012 15:19,10/08/2012 15:19
887,754,NULL,1,DALE-WIREWOUND,10/08/2012 15:19,10/08/2012 15:19
890,754,NULL,1,Vishay/Dale,10/08/2012 15:19,10/08/2012 15:19
891,755,NULL,1,VISHAY DRALORIC,10/08/2012 15:19,10/08/2012 15:19
892,755,NULL,1,Vishay/Draloric,10/08/2012 15:19,10/08/2012 15:19
893,755,NULL,1,Draloric,10/08/2012 15:19,10/08/2012 15:19
894,756,NULL,1,Vishay Electro-Films,10/08/2012 15:19,10/08/2012 15:19
896,756,NULL,1,Vishay/Electro-Films,10/08/2012 15:19,10/08/2012 15:19
897,757,NULL,1,Vishay Foil Resistors (Division of Vishay Precision Group),10/08/2012 15:19,10/08/2012 15:19
898,757,NULL,1,VISHAY FOIL RESISTORS / VPG,10/08/2012 15:19,10/08/2012 15:19
899,757,NULL,1,Vishay Precision Group Foil Resistors,10/08/2012 15:19,10/08/2012 15:19
904,759,NULL,1,Vishay Huntington Electric,10/08/2012 15:19,10/08/2012 15:19
905,760,NULL,1,VISHAY FORMERLY I.R.,10/08/2012 15:19,10/08/2012 15:19
906,762,NULL,1,Micro-Measurements (Division of Vishay Precision Group),10/08/2012 15:19,10/08/2012 15:19
907,763,NULL,1,Vishay/OS-CON,10/08/2012 15:19,10/08/2012 15:19
908,765,NULL,1,Vishay Phoenix Passive Components,10/08/2012 15:19,10/08/2012 15:19
909,766,NULL,1,Vishay Precision Group,10/08/2012 15:19,10/08/2012 15:19
911,767,NULL,1,VISHAY ROEDERSTEIN,10/08/2012 15:19,10/08/2012 15:19
913,767,NULL,1,Vishay/Roederstein,10/08/2012 15:19,10/08/2012 15:19
914,768,NULL,1,Vishay Semiconductors,10/08/2012 15:19,10/08/2012 15:19
916,769,NULL,1,Vishay Sfernice,10/08/2012 15:19,10/08/2012 15:19
918,769,NULL,1,Vishay/Sfernice,10/08/2012 15:19,10/08/2012 15:19
919,770,NULL,1,Vishay Siliconix,10/08/2012 15:19,10/08/2012 15:19
922,770,NULL,1,Vishay/Siliconix,10/08/2012 15:19,10/08/2012 15:19
924,772,NULL,1,Vishay Spectrol,10/08/2012 15:19,10/08/2012 15:19
926,772,NULL,1,Vishay/Spectrol,10/08/2012 15:19,10/08/2012 15:19
927,773,NULL,1,Vishay Sprague,10/08/2012 15:19,10/08/2012 15:19
930,773,NULL,1,Vishay/Sprague,10/08/2012 15:19,10/08/2012 15:19
931,774,NULL,1,TANSITOR,10/08/2012 15:19,10/08/2012 15:19
932,774,NULL,1,VISHAY TANSITOR,10/08/2012 15:19,10/08/2012 15:19
933,774,NULL,1,Vishay/Tansitor,10/08/2012 15:19,10/08/2012 15:19
934,775,NULL,1,VISHAY TECHNO,10/08/2012 15:19,10/08/2012 15:19
935,775,NULL,1,Vishay/Techno,10/08/2012 15:19,10/08/2012 15:19
936,778,NULL,1,Vishay Vitramon,10/08/2012 15:19,10/08/2012 15:19
938,778,NULL,1,VITRAMON,10/08/2012 15:19,10/08/2012 15:19
940,778,NULL,1,Vishay/Vitramon,10/08/2012 15:19,10/08/2012 15:19
942,779,NULL,1,VISHAY AMERICAS,10/08/2012 15:19,10/08/2012 15:19
952,787,NULL,1,VCC (VISUAL COMMUNICATIONS COMPANY),10/08/2012 15:19,10/08/2012 15:19
953,787,NULL,1,Visual,10/08/2012 15:19,10/08/2012 15:19
957,790,NULL,1,VITELEC ELECTRONICS,10/08/2012 15:19,10/08/2012 15:19
974,804,NULL,1,Volex Accessories,10/08/2012 15:19,10/08/2012 15:19
975,804,NULL,1,Volex Power Cords,10/08/2012 15:19,10/08/2012 15:19
976,805,NULL,1,Volgen America/Kaga Electronics USA,10/08/2012 15:19,10/08/2012 15:19
985,816,NULL,1,Vossloh,10/08/2012 15:19,10/08/2012 15:19
988,819,NULL,1,VTI,10/08/2012 15:19,10/08/2012 15:19
995,825,NULL,1,Vynckier,10/08/2012 15:19,10/08/2012 15:19
999,832,NULL,1,WM Berg,10/08/2012 15:19,10/08/2012 15:19
1014,844,NULL,1,Wakefield Thermal Solutions,10/08/2012 15:19,10/08/2012 15:19
1016,844,NULL,1,Wakefield,10/08/2012 15:19,10/08/2012 15:19
1020,849,NULL,1,WALLACE CAMERON &,10/08/2012 15:19,10/08/2012 15:19
1022,852,NULL,1,Walsin,10/08/2012 15:19,10/08/2012 15:19
1036,871,NULL,1,Wavetek Meterman,10/08/2012 15:19,10/08/2012 15:19
1038,875,NULL,1,WD40,10/08/2012 15:19,10/08/2012 15:19
1039,875,NULL,1,WD-40,10/08/2012 15:19,10/08/2012 15:19
1045,881,NULL,1,Weco Wester,10/08/2012 15:19,10/08/2012 15:19
1047,884,NULL,1,Weidmuller,10/08/2012 15:19,10/08/2012 15:19
1051,884,NULL,1,Weidmüller+Steinel,10/08/2012 15:19,10/08/2012 15:19
1062,895,NULL,1,Wenger SwissGear,10/08/2012 15:19,10/08/2012 15:19
1068,897,NULL,1,Werma Computer Security,10/08/2012 15:19,10/08/2012 15:19
1072,903,NULL,1,Westermo Data Communications,10/08/2012 15:19,10/08/2012 15:19
1073,903,NULL,1,Westermo Teleindustri,10/08/2012 15:19,10/08/2012 15:19
1074,904,NULL,1,Western Design Center (WDC),10/08/2012 15:19,10/08/2012 15:19
1083,911,NULL,1,White-Rodgers,10/08/2012 15:19,10/08/2012 15:19
1090,917,NULL,1,WIELAND,10/08/2012 15:19,10/08/2012 15:19
1094,918,NULL,1,Wiha,10/08/2012 15:19,10/08/2012 15:19
1099,919,NULL,1,Wika Instruments,10/08/2012 15:19,10/08/2012 15:19
1101,921,NULL,1,William Whiteley & Sons,10/08/2012 15:19,10/08/2012 15:19
1110,925,NULL,1,Winbond,10/08/2012 15:19,10/08/2012 15:19
1112,926,NULL,1,KINGS,10/08/2012 15:19,10/08/2012 15:19
1113,926,NULL,1,Kings Electronics,10/08/2012 15:19,10/08/2012 15:19
1114,927,NULL,1,Winchester,10/08/2012 15:19,10/08/2012 15:19
1117,932,NULL,1,Winslow,10/08/2012 15:19,10/08/2012 15:19
1137,951,NULL,1,Wolf Safety,10/08/2012 15:19,10/08/2012 15:19
1148,966,NULL,1,Wurth Electronics,10/08/2012 15:19,10/08/2012 15:19
1149,966,NULL,1,Würth ELEKTRONIK,10/08/2012 15:19,10/08/2012 15:19
1150,966,NULL,1,WURTH ELEKTRONIK,10/08/2012 15:19,10/08/2012 15:19
1158,971,NULL,1,Xantrex,10/08/2012 15:19,10/08/2012 15:19
1188,999,NULL,1,FERROXCUBE,10/08/2012 15:19,10/08/2012 15:19
1193,1001,NULL,1,YAGEO (PHYCOMP),10/08/2012 15:19,10/08/2012 15:19
1197,1003,NULL,1,YAMAICHI,10/08/2012 15:19,10/08/2012 15:19
1203,1011,NULL,1,Pegler Yorkshire,10/08/2012 15:19,10/08/2012 15:19
1207,1016,NULL,1,YUASA BATTERY SALES (UK),10/08/2012 15:19,10/08/2012 15:19
1213,1024,NULL,1,Zarlink,10/08/2012 15:19,10/08/2012 15:19
1220,1031,NULL,1,Zero Cases,10/08/2012 15:19,10/08/2012 15:19
1236,1053,NULL,1,NMB Technologies,10/08/2012 15:19,10/08/2012 15:19
1237,1053,NULL,1,NMB LIGHTING,10/08/2012 15:19,10/08/2012 15:19
1241,1053,NULL,1,NMB,10/08/2012 15:19,10/08/2012 15:19
1251,1059,NULL,1,NON LINEAR SYSTEMS,10/08/2012 15:19,10/08/2012 15:19
1260,1065,NULL,1,NORDIC VLSI ASA,10/08/2012 15:19,10/08/2012 15:19
1265,1068,NULL,1,NORITAKE ITRON,10/08/2012 15:19,10/08/2012 15:19
1266,1069,NULL,1,Noritake Company,10/08/2012 15:19,10/08/2012 15:19
1270,1073,NULL,1,NORTH (SAFETY PRODUCTS),10/08/2012 15:19,10/08/2012 15:19
1272,1076,NULL,1,NORTON,10/08/2012 15:19,10/08/2012 15:19
1283,1089,NULL,1,NSF (CONTROLS),10/08/2012 15:19,10/08/2012 15:19
1291,1095,NULL,1,NTi Audio,10/08/2012 15:19,10/08/2012 15:19
1307,1111,NULL,1,Nuvoton Technology Corporation of America,10/08/2012 15:19,10/08/2012 15:19
1309,1112,NULL,1,NVE/Isolation Products,10/08/2012 15:19,10/08/2012 15:19
1310,1112,NULL,1,NVE/Sensor Products,10/08/2012 15:19,10/08/2012 15:19
1316,1115,NULL,1,NXP,10/08/2012 15:19,10/08/2012 15:19
1326,1122,NULL,1,O.C.WHITE,10/08/2012 15:19,10/08/2012 15:19
1330,1130,NULL,1,OCZ,10/08/2012 15:19,10/08/2012 15:19
1334,1133,NULL,1,OEP,10/08/2012 15:19,10/08/2012 15:19
1343,1143,NULL,1,OKI/Metcal,10/08/2012 15:19,10/08/2012 15:19
1344,1143,NULL,1,METCAL,10/08/2012 15:19,10/08/2012 15:19
1348,1146,NULL,1,OK,10/08/2012 15:19,10/08/2012 15:19
1355,1150,NULL,1,OKW (ENCLOSURES),10/08/2012 15:19,10/08/2012 15:19
1358,1150,NULL,1,OKW Enclosures,10/08/2012 15:19,10/08/2012 15:19
1364,1154,NULL,1,OLYMPIC,10/08/2012 15:19,10/08/2012 15:19
1366,1155,NULL,1,OLYMPUS OPTICAL,10/08/2012 15:19,10/08/2012 15:19
1373,1161,NULL,1,Omnivision,10/08/2012 15:19,10/08/2012 15:19
1374,1162,NULL,1,Omron Electronics-EMC Div,10/08/2012 15:19,10/08/2012 15:19
1375,1162,NULL,1,Omron Electronics-IA Div,10/08/2012 15:19,10/08/2012 15:19
1377,1162,NULL,1,OMRON INDUSTRIAL AUTOMATION,10/08/2012 15:19,10/08/2012 15:19
1378,1162,NULL,1,OMRON STI,10/08/2012 15:19,10/08/2012 15:19
1379,1162,NULL,1,Omron Electronics,10/08/2012 15:19,10/08/2012 15:19
1383,1162,NULL,1,Omron Industrial,10/08/2012 15:19,10/08/2012 15:19
1386,1164,NULL,1,CMD - California Micro Devices (ON Semiconductor),10/08/2012 15:19,10/08/2012 15:19
1387,1165,NULL,1,CATALYST SEMICONDUCTOR,10/08/2012 15:19,10/08/2012 15:19
1388,1165,NULL,1,Catalyst (ON Semiconductor),10/08/2012 15:19,10/08/2012 15:19
1390,1168,NULL,1,SANYO Semiconductor (U.S.A),10/08/2012 15:19,10/08/2012 15:19
1397,1170,NULL,1,On Shore Technology,10/08/2012 15:19,10/08/2012 15:19
1399,1172,NULL,1,Ondico Shanghai,10/08/2012 15:19,10/08/2012 15:19
1403,1176,NULL,1,Onset Computer,10/08/2012 15:19,10/08/2012 15:19
1406,1180,NULL,1,OPTEX,10/08/2012 15:19,10/08/2012 15:19
1413,1188,NULL,1,Opto-Diode,10/08/2012 15:19,10/08/2012 15:19
1424,1198,NULL,1,Oregon,10/08/2012 15:19,10/08/2012 15:19
1428,1199,NULL,1,Orient Display,10/08/2012 15:19,10/08/2012 15:19
1432,1203,NULL,1,Orion,10/08/2012 15:19,10/08/2012 15:19
1437,1207,NULL,1,Light Alloy,10/08/2012 15:19,10/08/2012 15:19
1439,1208,NULL,1,Osborn International,10/08/2012 15:19,10/08/2012 15:19
1444,1215,NULL,1,OSRAM Opto Semiconductors,10/08/2012 15:19,10/08/2012 15:19
1445,1215,NULL,1,Osram Opto Semiconductor,10/08/2012 15:19,10/08/2012 15:19
1449,1216,NULL,1,OSRAM SYLVANIA,10/08/2012 15:19,10/08/2012 15:19
1455,1220,NULL,1,Otter Box,10/08/2012 15:19,10/08/2012 15:19
1457,1221,NULL,1,OTTO CONTROLS,10/08/2012 15:19,10/08/2012 15:19
1458,1221,NULL,1,Otto,10/08/2012 15:19,10/08/2012 15:19
1466,1231,NULL,1,OZ GEDNEY,10/08/2012 15:19,10/08/2012 15:19
1474,1240,NULL,1,Pacific,10/08/2012 15:19,10/08/2012 15:19
1484,1247,NULL,1,PAL,10/08/2012 15:19,10/08/2012 15:19
1489,1253,NULL,1,AROMAT F/A,10/08/2012 15:19,10/08/2012 15:19
1490,1254,NULL,1,Panasonic - ATG,10/08/2012 15:19,10/08/2012 15:19
1491,1255,NULL,1,Panasonic - BSG,10/08/2012 15:19,10/08/2012 15:19
1492,1256,NULL,1,Panasonic - DCG,10/08/2012 15:19,10/08/2012 15:19
1493,1257,NULL,1,Panasonic - ETG,10/08/2012 15:19,10/08/2012 15:19
1494,1258,NULL,1,Panasonic - SSG,10/08/2012 15:19,10/08/2012 15:19
1495,1259,NULL,1,SUNX,10/08/2012 15:19,10/08/2012 15:19
1497,1260,NULL,1,Panasonic - Consumer Division,10/08/2012 15:19,10/08/2012 15:19
1498,1260,NULL,1,Panasonic Electric Works,10/08/2012 15:19,10/08/2012 15:19
1499,1260,NULL,1,Panasonic Electric Works - ACSD,10/08/2012 15:19,10/08/2012 15:19
1501,1260,NULL,1,PANASONIC ACCESSORIES,10/08/2012 15:19,10/08/2012 15:19
1502,1260,NULL,1,PANASONIC BATTERIES,10/08/2012 15:19,10/08/2012 15:19
1503,1260,NULL,1,PANASONIC EW,10/08/2012 15:19,10/08/2012 15:19
1509,1260,NULL,1,Panasonic Battery,10/08/2012 15:19,10/08/2012 15:19
1511,1260,NULL,1,Panasonic Semiconductors,10/08/2012 15:19,10/08/2012 15:19
1548,1284,NULL,1,Parker SSD,10/08/2012 15:19,10/08/2012 15:19
1559,1300,NULL,1,PATLITE (U.S.A.),10/08/2012 15:19,10/08/2012 15:19
1571,1310,NULL,1,PCL,10/08/2012 15:19,10/08/2012 15:19
1572,1310,NULL,1,Pneumatic Components,10/08/2012 15:19,10/08/2012 15:19
1579,1315,NULL,1,Peak Electronic Design,10/08/2012 15:19,10/08/2012 15:19
